8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.000481473156103951 + 0.0142758505962131i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0133133057677384 - 0.00753274007687040i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0136017428498140 - 0.00872496675655818i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00137290660592541 + 0.0167988082231196i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0159298260238201 - 0.00691819798204387i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0138843821826886 - 0.0109534705683400i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00306980872058091 + 0.0175321505177434i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0167914669276570 - 0.00560938169440490i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0127084070628075 - 0.0118804193801731i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00424710730054129 + 0.0163362421498375i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0156783121371769 - 0.00389741144388447i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0102957630026948 - 0.0112266320195000i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00457091667576899 + 0.0133620019460091i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0126523725882848 - 0.00217080394375451i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00707621728072907 - 0.00893111590200600i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00382013229903703 + 0.00903952410720109i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00807318825594240 - 0.000829270922319039i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00360716904560464 - 0.00519498592745374i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00195805145274155 + 0.00401341997238530i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00255945713815354 - 0.000188780015705610i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.000464911426016886 - 0.000479344911294264i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.000827293570399381 - 0.000965077153300391i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00310013957016882 - 0.000399243994796892i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00187081896043125 + 0.00454760237528061i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00412677795345107 - 0.00516992220219153i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00807313505029154 - 0.00139434052181435i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00311508298633191 + 0.00910848008048884i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00736158236456103 - 0.00803103486491612i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0116243859263732 - 0.00288668638902426i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00323779369265237 + 0.0124440701933310i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00987583391942545 - 0.00923841773523939i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0132457946295595 - 0.00441215305161133i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00247207180353410 + 0.0139471692387693i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0110545171498818 - 0.00879855293246264i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0127493514870922 - 0.00541649057419687i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00126788350020379 + 0.0132772629071024i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0104441651210698 - 0.00703100569239730i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0103043879806478 - 0.00536790588413524i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.000199305770542812 + 0.0104326597108121i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00785181050300784 - 0.00450483217213485i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00641020122816258 - 0.00387291547551910i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.000156384939867200 + 0.00576399771784717i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00340075710915320 - 0.00192638749167599i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00180758332396090 - 0.000771118719593199i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.000656629914067638 - 7.60845356108011e-05i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00247052942200655 - 8.67361737988404e-19i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00265519833316195 + 0.00381199468821942i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00286998692812652 - 0.00623995785771720i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00906917998136720 + 0.000711338881367674i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00617722115852259 + 0.00946708136138848i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00643195178307133 - 0.0118301777747250i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0155591539585581 - 0.000102155310890765i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00815130916372111 + 0.0155597363256377i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0110047393046656 - 0.0160563051943323i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0211032751399631 - 0.00243480125516576i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00827404734221528 + 0.0213362709570061i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0160198793024532 - 0.0183739189533292i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0250095779413898 - 0.00596521081905652i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00659824403452564 + 0.0260567527095168i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0207812681053888 - 0.0185792184680001i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0268538260857555 - 0.0101181521625426i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00351773627846206 + 0.0291294779797089i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0245956595904264 - 0.0168407932330057i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0265540676038995 - 0.0141762220170325i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.000312431396062831 + 0.0302201464379859i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0269045472735883 - 0.0136620879762036i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0243820444861406 - 0.0174191108365165i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00410483289042630 + 0.0293135876556497i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0273909084127035 - 0.00978147293250734i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0209084537704977 - 0.0192628083453083i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00709234839646858 + 0.0267151002896199i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0260392586153233 - 0.00602897326992442i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0168920382920463 - 0.0193712544580129i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00867503542837341 + 0.0229904646188593i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0231369006458651 - 0.00316717877469823i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0131336482168245 - 0.0177186514815742i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00853286138695699 + 0.0188560403783326i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0192162091816388 - 0.00174692810742171i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0103234761577383 - 0.0145907359060237i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00668293969639583 + 0.0150405218134790i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0149498051159885 - 0.00200540587647940i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00891115974209818 - 0.0105256824754191i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00347105834668265 + 0.0121457768105757i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0110200493653471 - 0.00382588632047907i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00902401994064940 - 0.00620743416426345i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.000499648359501487 + 0.0105345050462582i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00798943790436560 - 0.00676618725838419i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0104492183677167 - 0.00233363629799416i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00448770278641052 + 0.0102671068621312i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00619813537807930 - 0.0101494052676075i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0126829637885280 + 0.000514903873826705i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00775565894290236 + 0.0111002224691899i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00570911639382689 - 0.0131983930269143i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0150366203332267 + 0.00197714303500946i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00970744247762677 + 0.0125468959973151i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00631139467030918 - 0.0151871275774179i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0167783429173965 + 0.00196720334987795i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00999392558692155 + 0.0139857969105671i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00757969479360922 - 0.0155792371125886i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0172819492899668 + 0.000672529500279327i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00856703852680249 + 0.0147969613267522i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00897718961582340 - 0.0141270251825644i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0161535149769224 - 0.00150288072807090i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00567358665808765 + 0.0144961477364127i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00997903565812747 - 0.0109126645249449i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0133108689660312 - 0.00403649713746993i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00179235566053826 + 0.0128402411084315i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0101902416894978 - 0.00632507601597649i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00900079310058533 - 0.00640454480905667i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00225324518045366 + 0.00167840564804329i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00775633461597112 - 0.0233904560023224i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00206104049878313 - 0.00277237189632829i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00967436240155055 - 0.0135562030127255i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00531176723033229 - 0.0321435489164882i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00172834138445702 - 0.00721186829601416i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00575048435571858 - 0.0123674993906198i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0208738458549479 - 0.0193831431930120i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00608608399012235 + 0.0225936863500280i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00977530453712560 + 0.0224981476225599i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00430829719265144 - 0.0231373490193284i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00996974801999154 - 0.0131903639629182i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00405275516006657 + 0.0211600598567104i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0110005254068721 + 0.00252405768881194i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0168746149550894 - 0.0123083485501124i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0334588664389365 + 0.0199796426579439i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0241294264929666 + 0.0215656720014314i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0120966163608996 - 0.00742194415051559i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0123526471100327 + 0.00000000000000i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0259597585856315 - 0.00390454620795257i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0265774199159858 - 0.0228364476730639i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0218266489192766 + 0.00677219182272699i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00109215015764589 + 0.00688493833734978i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0240573832121502 - 0.0368366520944400i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0176622093464609 - 0.00950839457487728i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0199257360586465 + 0.0190652980270250i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00141837211611460 - 0.0288857133630407i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00469637005896529 - 0.0382978086235305i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00729177783528837 - 0.00285071086943510i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00512634349697179 - 0.00481864305268036i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0256942350465135 - 0.00678424692074228i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00430849298169664 + 0.00172126466504658i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00158591553292127 - 0.0115439200701384i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.000639688461672052 - 0.0109300286809295i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0151781996896246 + 0.0131734592306337i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00930973503802565 + 0.0244454747911187i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0202472207345922 + 0.0145137311655494i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0169658174026150 - 0.00823757993369778i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0172181612316048 - 0.0280233893982056i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00639317199855807 - 0.0233172005829961i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00211411469696653 + 0.00589245107118682i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00707457192716880 + 0.0268497629822363i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0124389249902654 + 0.0191009990627758i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00301763761652138 + 0.0102486313210352i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0147717016842519 + 0.0128901691141607i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00776113814209282 + 0.0144067229884161i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00400199428293819 + 0.0194213048422050i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0110390808417537 + 0.0139754028227421i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00298224121996077 + 0.00665254472320036i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0121558010672895 + 0.0194580582636594i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00787989257252854 - 0.00449758192025544i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00586340778096645 - 0.0377858833326145i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00547746820947350 + 0.00888381858910698i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00684209997991930 + 0.0270325252364575i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00465771890294885 - 0.0252266569467884i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00840587899038918 - 0.00352180016371393i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0222973532379003 + 0.0298752329308632i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.0295601346179295 - 0.00854137897064225i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0189318786303726 - 0.00100652865389947i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0210374816948406 + 0.0190737051403829i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.000592810827210749 - 0.0106342724476988i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0370168520940550 + 0.00399786244721089i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0213794472541389 + 0.0151928765100049i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00403509160750266 - 0.0158473088592773i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00354594759385295 + 0.00898811976399013i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00773413139134967 + 0.0268502752158603i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00983732241180956 - 0.00373511660564035i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00656266155565816 + 0.0113618087317417i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0241069704255485 + 0.0248140317666510i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0189194081888659 + 0.00801925273921892i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0319648090582240 + 0.0186742682305610i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0235754260813711 + 0.00552089751565902i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0174198921620139 - 0.0138009478527899i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0100152381510215 + 0.0134469490361542i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0132609148512846 + 0.00644163734185978i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00653326629848521 - 0.0173120710975842i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0232385065798053 - 0.00410799391486405i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0272202062604398 - 0.0185349638352337i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0247956010243113 - 0.0253170070955288i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0193850363916866 + 0.0102949758461821i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0183122081839711 + 0.00978506454232837i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0155979645632168 + 0.00348134938919234i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00130410365399293 + 0.0104653305720330i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0246568901073204 - 0.0288467037555522i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.000353150849734329 - 0.0424030616792018i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00595398203393636 - 0.00382047769226176i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0281959367994266 - 0.00471707495910125i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0122176735875459 - 0.0158256274223091i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00216405229120017 - 0.00347532696138090i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0231975674146373 - 0.0100274789424074i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00348463161569761 - 0.0120084667180102i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0159840748178747 - 0.00606663540782610i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00284056177387770 - 0.00763873428646369i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0243842961277544 + 0.0159195553870348i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0162638218910278 + 0.0185861319315101i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.0316808302494355 - 0.0196416073242624i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00418047615135259 - 0.00846802378585521i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0339013653338452 + 0.0158902368599997i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00530876175463935 - 0.0218155153307557i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0119374191447146 - 0.0339205764936019i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0373795876038856 + 0.00149953715016040i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00528847751822708 - 0.00342514246660311i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0128914320216103 - 0.0139353867054131i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00669892949826648 + 0.0176727977615288i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0411008425155741 + 0.0228278681699974i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0163422600096600 - 0.00709701200572321i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0252931686151205 - 0.00812618703080054i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0173113042236544 + 0.00202337073112497i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0322568809353568 - 0.0109392852087391i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0196501986227935 - 0.0139503634388283i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0142352230018347 - 0.00584825619889288i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0289377034672596 - 0.0132994371343715i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0175300766899259 - 0.00577373792343760i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0117034422804772 + 0.0142333179888907i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0122938438477582 - 0.00187919750175110i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0104068089516428 - 0.0135874568111679i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00865919374445860 + 0.0130906291576453i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00759592511362872 + 0.0153346305540682i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00284187923364982 + 0.00479517494400408i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0267190064207625 + 0.0240362997167709i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0236253892419505 + 0.0125765642232553i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00251444689490741 - 0.0134499324595095i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0154426001802864 + 0.0127949085558595i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0265392939560848 + 0.0146265474772183i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00349605012294107 - 0.0181077882015638i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0417071739842944 + 0.0132316801038740i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0236529566985168 + 0.0418880565486409i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00113481107983903 + 0.00411275533245288i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0243781849295997 - 0.00653308340183287i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0149617134387254 + 0.00647946811136249i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00129552646474987 - 0.00520619118120089i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0211171870761258 + 0.00263396330969718i
-1.22474487139159 - 0.408248290463863i,,,,,,,,1.31052849781810e-05 + 0.0122224225194768i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0194182050543694 + 0.00345101332699679i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00451359070284535 + 0.0123189769021210i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0234345114439390 + 0.00214771413765262i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0334735121740493 - 0.0179867951405770i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0269896337241870 + 0.00613349615838138i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0142100441561636 + 0.0120479067296361i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0311427183073313 - 0.00415528418818999i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.000444837206075547 + 0.0204458631864059i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00974256174593114 + 0.0282841781647930i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0152267830589659 + 0.00715815233753616i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00321907012179394 + 0.00791370876820483i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0102946958913567 - 0.00706614312433262i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0141114520053332 - 0.0284958638527728i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0190433446060663 - 0.0226802997960864i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00666208058344272 - 0.0188184388813442i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.000546833539584565 + 0.00460529852987003i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00379857233216792 + 0.0218809663257111i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0110005785747191 - 0.0137035791865052i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0130130726995420 - 0.00492005052393057i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.0117047016018152 + 0.0355951999393627i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00595702187915700 - 0.00178202747518674i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0312167139751855 - 0.0255862872549672i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00480063297368857 + 0.00699609910301382i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0416886018675569 + 0.00267350006620883i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00199215891967963 - 0.00148679325027273i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00266809309408638 + 0.00851917790150924i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0245324481240632 - 0.0173959787470956i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00146813587302602 - 0.0217485053692257i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0160394099866597 - 0.000930951174244673i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0409201935056176 - 0.000360626850340687i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.000350941388842544 + 0.00407995849347231i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0178367419159429 - 0.00868096077130624i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00880908579001750 - 0.0262290242576500i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00734161474310133 + 0.00360101786363695i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0287733148661671 + 0.0132938058325087i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0444398101019118 - 0.0127494764883621i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0146424581132912 - 0.00646136708625262i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00630066521324478 + 0.00551275637119989i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00297824908135076 + 0.00919497639962597i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00119626476322441 + 0.0124028941766897i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0126004638322726 - 0.00824435853099552i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00684214993341566 - 0.00916583527102591i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0135229986711937 + 0.00113588660830632i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00681979699600053 - 0.0236694788259085i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0226225307935559 - 0.0145644147951469i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0355012512126280 + 0.0137964867242748i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0157200877107640 - 0.00531745016525625i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0188803935367736 - 0.00324878226049520i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0145922404883856 + 0.00616210683468134i
